0.0014	0.0111	-0.0176	-0.6389	-2.3800	2.7002
0.3222	0.0157	-0.0188	-0.3535	-2.4260	2.2908
0.4894	0.0197	-0.0200	0.0349	-2.5802	1.9780
0.5664	0.0211	-0.0195	0.4877	-2.7869	1.7379
0.5600	0.0191	-0.0175	1.0215	-3.1117	1.6113
0.4787	0.0153	-0.0149	1.4748	-3.3941	1.5249
0.3951	0.0115	-0.0124	1.7698	-3.5388	1.4270
0.3432	0.0089	-0.0113	1.8991	-3.5271	1.3331
0.2971	0.0084	-0.0096	1.6912	-3.1716	1.2525
0.2304	0.0081	-0.0083	1.2708	-2.6466	1.2724
0.1063	0.0061	-0.0082	1.1358	-2.5924	1.5116
-0.0501	0.0042	-0.0080	1.0902	-2.8620	1.9385
-0.1620	0.0027	-0.0079	1.0778	-3.2058	2.3471
-0.2139	0.0016	-0.0088	1.1622	-3.5571	2.6286
-0.2268	0.0011	-0.0096	1.1747	-3.7309	2.8368
-0.2717	0.0001	-0.0090	1.0630	-3.7302	3.0560
-0.3785	-0.0019	-0.0096	0.9116	-3.6542	3.2874
-0.5327	-0.0024	-0.0113	0.7654	-3.4524	3.3078
-0.6105	0.0021	-0.0145	0.5178	-2.8079	2.8705
-0.5773	0.0131	-0.0173	0.3040	-1.4996	1.6934
-0.5003	0.0234	-0.0193	0.3708	0.3443	-0.1644
-0.5501	0.0197	-0.0179	0.5027	2.4196	-2.2280
-0.6887	0.0087	-0.0153	0.3597	4.3481	-3.9104
-0.7872	0.0008	-0.0124	-0.0717	6.0607	-5.2281
-0.7481	-0.0018	-0.0128	-0.7485	7.8019	-6.4155
-0.6215	-0.0033	-0.0158	-1.3325	9.3568	-7.4852
-0.5162	-0.0061	-0.0199	-1.7220	10.5773	-8.3793
-0.4444	-0.0086	-0.0229	-1.9186	11.3071	-9.0690
-0.2844	-0.0066	-0.0234	-1.9718	11.4085	-9.3049
-0.1053	0.0017	-0.0240	-2.1304	11.0767	-8.7405
-0.1838	0.0024	-0.0203	-1.6303	9.6877	-7.6759
-0.3625	0.0019	-0.0194	-0.8602	7.7233	-6.2137
-0.6276	-0.0050	-0.0132	-0.3145	5.9355	-4.9364
-0.6667	-0.0087	-0.0049	-0.3934	4.6494	-3.7206
-0.5247	-0.0058	-0.0017	-0.6071	3.2886	-2.3005
-0.3751	-0.0019	-0.0046	-0.6139	1.7181	-0.7751
-0.3236	-0.0015	-0.0053	-0.3075	0.0433	0.6785
-0.4093	-0.0009	-0.0059	0.1050	-1.3783	1.8527
-0.5725	-0.0024	-0.0058	0.6203	-2.6543	2.7078
-0.6656	-0.0049	-0.0048	0.9856	-3.6840	3.1852
-0.4805	-0.0024	-0.0055	1.0971	-4.3866	3.5224
-0.2285	0.0008	-0.0072	1.0882	-4.9061	3.8743
-0.0523	0.0021	-0.0089	1.0067	-5.2512	4.1552
0.0930	0.0046	-0.0106	0.7563	-5.2872	4.2532
0.2810	0.0081	-0.0116	0.3995	-4.9563	4.0563
0.5017	0.0120	-0.0119	0.0308	-4.4815	3.8041
0.6444	0.0160	-0.0127	-0.1655	-4.1496	3.6255
0.6858	0.0177	-0.0137	-0.1016	-4.0232	3.4894
0.6325	0.0159	-0.0130	0.0480	-4.0284	3.4546
0.5249	0.0139	-0.0125	0.1427	-3.9982	3.3719
0.4828	0.0136	-0.0125	0.3677	-4.1339	3.3107
0.4544	0.0135	-0.0131	0.6833	-4.4261	3.3908
0.3524	0.0117	-0.0137	1.0164	-4.7420	3.4786
0.2502	0.0096	-0.0137	1.2181	-4.8584	3.4683
0.1772	0.0082	-0.0126	1.1778	-4.7093	3.4405
0.0971	0.0064	-0.0110	1.0549	-4.6037	3.5306
0.0238	0.0047	-0.0100	1.0002	-4.7141	3.7376
-0.0180	0.0037	-0.0105	1.0122	-4.8898	3.8512
0.0313	0.0047	-0.0118	1.0241	-4.9281	3.7801
0.1291	0.0062	-0.0129	0.9041	-4.5863	3.5058
0.1818	0.0077	-0.0129	0.6616	-3.9289	3.1724
0.1010	0.0067	-0.0128	0.3893	-3.1815	2.8582
-0.0599	0.0069	-0.0135	0.1224	-2.3779	2.4195
-0.1605	0.0122	-0.0154	-0.0596	-1.3989	1.6413
-0.1845	0.0202	-0.0178	-0.0884	-0.1022	0.3414
-0.1556	0.0242	-0.0182	0.0637	1.3855	-1.2270
-0.2255	0.0210	-0.0156	0.2514	2.9334	-2.8656
-0.3202	0.0153	-0.0129	0.3214	4.3617	-4.3906
-0.2932	0.0112	-0.0100	0.2807	5.5234	-5.6168
-0.1887	0.0093	-0.0090	0.0583	6.6882	-6.6220
-0.1225	0.0061	-0.0113	-0.1632	7.8261	-7.4956
-0.1564	0.0005	-0.0156	-0.3232	8.8340	-8.2491
-0.2392	-0.0054	-0.0192	-0.4402	9.5610	-8.7673
-0.3201	-0.0082	-0.0201	-0.5961	9.8500	-8.7101
