aX	 aY 	 aZ	 gX	 gY	 gZ	
1.7090	0.2322	1.0645	-1.6479	31.1890	90.9424
1.6854	0.2358	1.0876	2.0752	22.0947	75.8667
1.7263	0.2036	1.0826	3.7231	12.9395	62.0117
1.7964	0.1810	1.0621	1.5869	1.5869	49.5605
1.8912	0.1523	1.0457	-4.0894	-15.3809	37.4756
1.8202	0.2325	1.0551	-11.3525	-38.6353	22.7051
1.6174	0.3690	1.0876	-14.5264	-60.9741	3.7231
1.3893	0.4839	1.1073	-9.2773	-72.5708	-14.2212
1.2303	0.5085	1.1013	2.5024	-71.7773	-28.3813
1.1846	0.4603	1.0525	16.8457	-63.2324	-38.8794
1.2089	0.3773	0.9823	28.0762	-56.5186	-46.2036
1.2573	0.2754	0.8914	31.3721	-59.9365	-51.3306
1.3147	0.2080	0.8051	25.0244	-75.5615	-54.5044
1.2847	0.2084	0.7651	12.2681	-101.5015	-56.9458
1.0732	0.2606	0.7533	-0.4272	-131.7139	-60.6079
0.8134	0.2942	0.7616	-5.3101	-154.7241	-65.6128
0.6703	0.3062	0.7805	-3.7842	-163.7573	-66.9556
0.6688	0.3049	0.8243	0.2441	-162.1704	-65.1855
0.6108	0.3285	0.8727	6.9580	-155.3345	-73.7915
0.5000	0.3618	0.8911	17.1509	-147.0337	-89.7217
0.4346	0.3463	0.8816	29.6631	-140.1978	-100.0366
0.4330	0.2954	0.8428	41.6260	-135.2539	-103.3325
0.4358	0.2386	0.7883	49.9878	-133.7891	-106.0181
0.3837	0.1650	0.7150	51.8799	-138.6719	-110.2295
0.2684	0.0918	0.6558	47.1802	-148.9258	-114.0747
0.1117	0.0968	0.6263	37.5366	-157.9590	-116.3330
-0.0707	0.1403	0.6395	28.2593	-161.9263	-112.9761
-0.2328	0.1914	0.6857	22.3999	-158.5693	-102.6001
-0.3339	0.2227	0.7482	21.1182	-146.2402	-88.9282
-0.3202	0.2448	0.8234	24.9023	-124.9390	-81.6650
-0.2921	0.2507	0.8707	33.9966	-98.2666	-83.6792
-0.2290	0.2202	0.8837	46.3867	-74.0356	-86.4868
-0.1332	0.1606	0.8699	58.1055	-58.4106	-85.9985
-0.0286	0.1005	0.8348	65.2466	-52.4292	-84.2285
0.0280	0.0443	0.7800	66.9556	-55.9692	-83.9844
-0.0135	-0.0221	0.7128	65.0024	-66.3452	-85.3271
-0.0962	-0.0879	0.6471	60.2417	-78.9185	-85.6323
-0.2130	-0.1229	0.5934	51.5137	-89.8438	-82.6416
-0.3173	-0.1290	0.5778	39.4897	-93.8110	-75.3784
-0.3624	-0.1029	0.6039	26.9775	-90.1489	-65.0024
-0.3259	-0.0510	0.6725	18.0054	-79.7729	-59.6313
-0.2764	-0.0137	0.7356	14.4653	-65.9790	-64.8804
-0.2550	0.0007	0.7870	17.0288	-54.3213	-71.5332
-0.2271	0.0017	0.8204	22.2168	-46.0815	-73.3643
-0.1920	-0.0006	0.8414	27.5879	-42.2363	-70.0684
-0.1716	0.0002	0.8436	32.1655	-43.7622	-66.2231
-0.2317	0.0248	0.8257	36.7432	-50.0488	-63.7817
-0.3615	0.0060	0.7936	41.4429	-53.8330	-63.4766
-0.4229	-0.0747	0.7487	42.3584	-51.3306	-63.1714
-0.4620	-0.1350	0.7019	38.6353	-41.9922	-62.7441
-0.4580	-0.1895	0.6837	30.5786	-30.3955	-62.2559
-0.4130	-0.2279	0.6951	17.7002	-20.2637	-61.4014
-0.3781	-0.2080	0.7361	3.4790	-13.8550	-61.3403
-0.3585	-0.1501	0.8083	-8.0566	-12.6343	-61.3403
-0.3877	-0.0797	0.8975	-14.8926	-15.3198	-57.8003
-0.4747	-0.0171	0.9696	-14.3433	-18.8599	-52.1851
-0.5264	-0.0128	1.0081	-7.2632	-19.1040	-47.1191
-0.5499	-0.0442	1.0134	2.1973	-14.4043	-43.0298
-0.5566	-0.0991	0.9894	11.2305	-7.1411	-38.7573
-0.5328	-0.1625	0.9526	16.4185	-0.0610	-35.0342
-0.4852	-0.2086	0.9182	16.4185	4.6387	-31.0669
-0.4314	-0.2513	0.8955	10.9863	5.6763	-26.8555
-0.3702	-0.2728	0.8940	0.7935	2.0142	-23.9258
-0.3582	-0.2395	0.9213	-11.7187	-4.8218	-23.0713
-0.4097	-0.1691	0.9839	-22.5830	-11.8408	-22.7051
-0.4767	-0.0967	1.0540	-27.4658	-15.0757	-19.7144
-0.4701	-0.0520	1.1100	-24.5972	-11.6577	-13.7329
-0.4222	-0.0493	1.1389	-15.9302	-3.2959	-7.2632
-0.3660	-0.0667	1.1300	-4.1504	4.8828	-4.3335
-0.3276	-0.1003	1.1039	6.8359	9.8877	-3.7842
-0.3081	-0.1440	1.0621	15.3809	12.1460	-4.7607
-0.3096	-0.1910	1.0177	19.0430	12.6343	-5.1270
-0.3096	-0.2133	0.9858	17.1509	10.6201	-3.7842
-0.3260	-0.2274	0.9696	11.7187	7.7515	-1.7700
-0.3324	-0.2058	0.9666	3.6621	7.3853	0.2441
-0.3303	-0.1726	0.9835	-3.3569	7.8735	2.0752
-0.3641	-0.1278	1.0049	-7.5073	8.4839	3.7231
-0.4053	-0.0957	1.0247	-7.1411	10.9253	4.9438
-0.4479	-0.0797	1.0328	-3.1128	16.9067	6.9580
-0.4585	-0.0867	1.0284	2.7466	26.0620	10.3760
-0.4357	-0.1125	1.0194	7.7515	37.3535	13.0005
-0.4032	-0.1239	1.0077	10.3760	48.4619	15.0146
-0.3633	-0.1368	1.0017	11.1084	56.7627	17.2119
-0.3456	-0.1486	0.9979	10.2539	60.6079	18.8599
-0.3418	-0.1428	0.9838	8.3008	63.4155	19.2261
-0.3760	-0.1464	0.9768	5.8594	64.5142	20.3247
-0.4106	-0.1403	0.9681	3.2349	67.9321	21.2402
-0.4221	-0.1478	0.9620	0.9766	74.4019	22.2778
-0.4553	-0.1403	0.9628	-0.6104	84.3506	22.8882
-0.5026	-0.1257	0.9580	-0.6104	97.1069	23.1934
-0.5507	-0.1184	0.9565	0.3052	113.6475	23.8647
-0.6056	-0.0912	0.9597	1.8921	132.4463	25.1465
-0.7495	-0.0214	0.9600	6.5918	153.4424	27.4048
-0.8368	0.0383	0.9409	15.9302	177.2461	31.3110
-0.8258	0.0228	0.8964	27.5269	200.6226	36.0718
-0.7603	0.0059	0.8513	36.4380	218.5059	42.0532
-0.6841	-0.0017	0.8108	38.8184	227.0508	45.8984
-0.6305	-0.0247	0.7697	33.4473	225.2197	47.2412
-0.6367	-0.0035	0.7136	20.5078	216.7358	46.1426
-0.5962	0.0449	0.6406	3.0518	205.7495	41.7480
-0.5551	0.1122	0.5764	-15.8081	193.1152	40.0391
-0.5079	0.2170	0.5266	-33.6304	182.2510	45.2881
-0.4888	0.3359	0.4967	-43.9453	174.4995	58.1665
-0.4637	0.4690	0.4897	-42.7856	169.4336	77.3315
-0.3159	0.5471	0.4172	-28.6255	165.5273	104.9805
0.0049	0.5464	0.3851	-9.1553	156.4331	139.6484
0.2186	0.5310	0.3322	8.7891	140.5640	166.5039
0.3885	0.4855	0.2424	20.8130	121.2158	177.5513
0.5679	0.3990	0.1444	24.2920	101.9897	184.4482
0.7163	0.3398	0.0662	18.8599	91.9189	192.6880
0.9005	0.2810	0.0483	8.5449	92.6514	197.9980
1.1809	0.1969	0.0714	-2.8076	100.1587	200.5615
1.4502	0.1499	0.1512	-13.2446	106.0791	199.8291
1.7543	0.0701	0.2467	-19.6533	104.3091	195.0073
1.9657	0.0046	0.3763	-23.4375	89.5386	183.1665
1.9952	0.0088	0.4987	-25.9399	67.9321	163.6353
