aX	 aY 	 aZ	 gX	 gY	 gZ	
0.0162	-1.2719	0.7107	-31.3110	19.6533	2.8076
0.1034	-1.4092	0.6241	-31.6162	13.9160	10.2539
0.1344	-1.5548	0.5051	-30.1514	-2.1362	12.3291
0.1167	-1.6699	0.3601	-29.0527	-21.7285	12.2681
0.0763	-1.7355	0.2107	-27.5269	-42.2974	11.5356
0.0547	-1.7637	0.0569	-27.6489	-57.6172	7.2021
0.0967	-1.7656	-0.1104	-31.9824	-66.2842	-0.1831
0.1669	-1.7043	-0.2865	-38.7573	-69.8853	-8.9111
0.2477	-1.6406	-0.4835	-44.9219	-71.0449	-16.6626
0.3878	-1.4159	-0.6115	-52.6733	-71.2280	-19.7144
0.3633	-1.0320	-0.6492	-59.8755	-69.0918	-16.9067
0.5538	-0.4723	-0.5972	-60.4858	-64.8804	-3.4180
0.6763	0.1770	-0.3883	-53.6499	-57.6172	2.4414
0.6366	0.8314	-0.0972	-36.0718	-39.3677	-16.6016
0.4932	1.4918	0.2693	-13.4888	-10.0098	-49.4385
0.2725	2.1526	0.8127	2.7466	29.2358	-77.0264
0.0500	2.6271	1.3337	-5.7983	74.8291	-93.3228
0.0206	2.6752	1.7039	-34.7900	119.6899	-88.6841
0.0531	2.4648	2.0999	-76.4771	143.4937	-73.5474
0.0563	2.6167	2.4587	-126.2817	139.7705	-65.3687
0.0040	2.3910	2.7659	-171.6919	136.9629	-50.4150
0.0145	2.2264	2.9008	-192.5659	128.4790	-48.8281
0.0820	2.2028	2.8394	-172.4243	96.5576	-48.2178
0.0365	1.8407	2.6132	-117.5537	45.4712	-45.2271
-0.1532	1.4391	2.2499	-51.4526	-15.2588	-38.7573
-0.3994	1.1111	1.8545	5.9204	-73.2422	-28.7476
-0.5699	0.8483	1.5159	44.5557	-110.3516	-9.5825
-0.5258	0.6688	1.2378	66.6504	-115.4785	15.5640
-0.3234	0.4819	0.9985	74.2798	-95.1538	37.2314
-0.0751	0.3085	0.8097	69.6411	-62.0728	51.8188
0.1816	0.1979	0.7090	56.0913	-27.8320	60.6079
0.3853	0.1189	0.6746	40.1001	-0.1221	63.4766
0.5004	0.0573	0.6841	27.1606	19.1040	58.8989
0.5364	0.0402	0.7449	18.7378	29.3579	51.3306
0.5582	0.0239	0.8417	13.9160	31.6772	46.5698
0.5912	0.0045	0.9493	9.0942	29.1138	42.2974
0.5653	0.0090	1.0601	3.8452	20.8740	34.0576
0.4977	0.0526	1.1532	-2.8076	11.4136	24.4751
0.3718	0.1267	1.2133	-7.3242	3.4790	15.0146
0.2408	0.1995	1.2504	-6.1035	-1.0376	8.9111
0.1499	0.2499	1.2743	-2.5635	-1.2817	8.0566
0.1027	0.2935	1.2977	0.1831	1.6479	11.2915
0.0962	0.3414	1.3293	2.9297	5.8594	15.6860
0.1267	0.3855	1.3518	6.5308	10.1318	20.5078
0.2081	0.4315	1.3541	12.3291	11.1084	24.7803
0.2910	0.4493	1.3164	20.4468	6.4697	24.5972
0.3363	0.4402	1.2651	28.8086	-3.9062	18.8599
0.3320	0.4324	1.2196	32.8369	-19.5313	12.5122
0.2482	0.4402	1.1898	30.8838	-37.4146	5.8594
0.0715	0.4717	1.1709	24.5972	-51.2695	-0.3052
-0.0754	0.5172	1.1584	20.0195	-58.4106	-2.8076
-0.2012	0.5273	1.1348	21.2402	-53.1006	0.6104
-0.2787	0.5195	1.0922	28.5034	-41.0767	8.4229
-0.2581	0.4973	1.0399	39.8560	-24.7803	17.0288
-0.1632	0.4178	0.9780	51.6357	-7.8735	25.9399
-0.0087	0.3004	0.9142	57.4341	3.6011	32.8979
0.1263	0.1921	0.8671	54.8706	7.3242	34.7290
0.2094	0.1222	0.8644	44.1895	2.8076	33.5083
0.2153	0.1028	0.8893	29.2358	-5.4321	29.6631
0.1089	0.1407	0.9388	17.6392	-13.4888	25.0244
-0.0736	0.1892	0.9890	13.2446	-14.2822	21.4233
-0.2399	0.1947	1.0037	18.3105	-2.3193	19.8364
-0.2574	0.1401	0.9778	31.3721	21.4844	22.3389
-0.1407	0.0576	0.9384	46.6919	48.3398	28.3813
0.0211	-0.0348	0.8905	59.2041	67.9321	33.1421
0.1768	-0.1195	0.8524	65.4907	73.3032	33.2642
0.2802	-0.1796	0.8204	65.9790	63.4155	29.6021
0.3140	-0.1940	0.8103	60.9131	42.3584	26.0010
0.2941	-0.2017	0.8071	50.5371	16.8457	21.9727
0.2542	-0.2535	0.7957	37.2925	-7.5684	17.3950
0.1603	-0.2548	0.7990	23.7427	-27.8320	14.4653
0.0038	-0.2030	0.8307	11.8408	-42.6025	13.1226
-0.1638	-0.1729	0.8516	7.1411	-45.9595	14.5264
-0.2312	-0.1434	0.8759	10.9863	-36.1938	19.1040
-0.2051	-0.1549	0.8817	20.2026	-17.3340	23.8647
-0.0801	-0.2152	0.8580	31.0059	2.7466	26.3672
0.0378	-0.2518	0.8279	39.9170	16.9678	23.2544
0.1104	-0.2699	0.8268	43.9453	21.7285	17.0898
0.1466	-0.3295	0.8120	41.4429	18.5547	10.4370
0.1616	-0.3550	0.8043	34.1797	10.6201	7.2021
0.1416	-0.3552	0.8083	23.7427	0.9766	6.7139
0.0780	-0.3677	0.8065	13.4277	-7.5684	6.8970
0.0170	-0.3558	0.8080	6.9580	-12.6953	7.3853
-0.0312	-0.3368	0.8181	6.1646	-11.7187	7.9346
-0.0382	-0.3488	0.8099	9.3384	-4.5166	7.1411
0.0117	-0.3726	0.7834	13.8550	5.6763	5.9814
0.0839	-0.3750	0.7627	18.7988	13.4888	5.8594
0.1467	-0.4115	0.7480	21.5454	15.3198	6.1646
0.1957	-0.4517	0.7347	19.9585	10.4370	4.8218
0.2035	-0.4518	0.7430	13.7939	1.7090	2.9297
0.1406	-0.4442	0.7688	5.1270	-6.8359	0.1221
0.0963	-0.4227	0.7969	-1.5869	-11.8408	-0.9766
0.0533	-0.4163	0.8281	-4.3945	-11.5356	-0.5493
0.0481	-0.4293	0.8495	-3.4180	-5.3101	-1.8921
0.0626	-0.4495	0.8657	-1.0376	3.7231	-3.6011
0.1158	-0.4717	0.8655	1.8311	12.1460	-4.5776
0.1840	-0.4810	0.8640	2.6855	16.4185	-6.3477
0.2169	-0.4784	0.8691	0.9766	13.4888	-10.1318
0.2115	-0.4551	0.8846	-1.6479	4.4556	-14.7705
0.1866	-0.4272	0.9032	-4.6387	-6.6528	-17.1509
0.1718	-0.3945	0.9209	-8.2397	-18.1885	-16.2354
0.1281	-0.3514	0.9388	-10.5591	-27.5879	-15.6250
0.0736	-0.3158	0.9493	-9.9487	-32.5317	-16.7847
0.0400	-0.2899	0.9581	-7.2632	-31.8604	-19.4702
0.0103	-0.2894	0.9600	-4.0894	-25.5737	-23.1934
0.0023	-0.2996	0.9537	-2.0142	-16.3574	-26.7944
0.0208	-0.2968	0.9547	-0.7935	-7.8125	-28.7476
0.0365	-0.3098	0.9612	-1.2207	-3.1128	-28.2593
0.0614	-0.3179	0.9619	-2.1973	-3.2349	-25.0244
0.0831	-0.3339	0.9596	-3.0518	-7.7515	-19.7144
0.1116	-0.3491	0.9539	-4.6997	-16.2354	-13.5498
0.1167	-0.3507	0.9547	-8.1787	-26.9775	-9.1553
0.0511	-0.3516	0.9552	-11.1694	-35.8276	-9.2163
-0.0444	-0.3492	0.9642	-11.1694	-38.3301	-12.5122
-0.0927	-0.3569	0.9812	-8.7280	-31.9214	-15.1367
-0.0734	-0.3813	0.9946	-6.4697	-18.9819	-16.0522
-0.0247	-0.3938	1.0023	-5.9204	-5.4932	-18.0664
0.0153	-0.4034	1.0176	-7.0801	3.5400	-19.2871
0.0465	-0.4086	1.0227	-8.4229	7.0190	-17.5781
0.0952	-0.4142	1.0269	-9.4604	3.8452	-13.2446
