aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.1702	-0.2202	0.8528	66.7725	-146.0571	-0.7324
-0.1874	-0.2175	0.8163	61.9507	-151.3062	-0.7324
-0.2649	-0.2224	0.7695	58.4717	-158.0200	-1.5869
-0.3437	-0.2241	0.7314	55.2979	-161.8652	-2.2583
-0.3851	-0.2163	0.7024	53.9551	-163.3301	-1.5259
-0.3938	-0.2084	0.6871	53.1006	-161.1328	-0.4883
-0.3962	-0.1925	0.6864	53.4668	-157.9590	-0.0610
-0.3866	-0.1985	0.6642	55.2368	-155.4565	-0.4272
-0.3842	-0.2192	0.6620	56.1523	-153.4424	-2.0752
-0.4344	-0.2533	0.6350	56.7017	-151.7944	-3.9673
-0.5114	-0.2891	0.6622	53.2837	-146.9116	-4.8218
-0.5562	-0.2959	0.7319	48.4619	-137.0239	-3.7231
-0.5620	-0.2894	0.7991	47.2412	-122.3145	-1.8311
-0.5248	-0.3073	0.7891	49.9268	-105.3467	-0.4883
-0.4559	-0.3445	0.7520	50.7813	-91.4307	0.4883
-0.3860	-0.3700	0.7167	48.2788	-86.1816	1.3428
-0.3557	-0.3718	0.6797	44.0674	-91.2476	0.7324
-0.4000	-0.3817	0.6326	39.2456	-101.3184	-3.2959
-0.4781	-0.3853	0.6245	33.5693	-108.0933	-8.4839
-0.5170	-0.3750	0.6173	28.9917	-110.1074	-11.5967
-0.5256	-0.3754	0.6013	24.7192	-109.6802	-11.4136
-0.6124	-0.3647	0.6245	21.3623	-108.0322	-10.6812
-0.7202	-0.3513	0.6504	20.9351	-98.3276	-10.3760
-0.7368	-0.3523	0.6427	23.2544	-78.7354	-8.1787
-0.6625	-0.3798	0.5958	25.1465	-56.6406	-4.3335
-0.5876	-0.4194	0.5447	22.7661	-39.5508	0.0610
-0.5591	-0.4539	0.5411	14.2822	-30.8838	3.8452
-0.5602	-0.4695	0.5513	2.1973	-27.0996	8.0566
-0.5719	-0.4656	0.5515	-9.3384	-25.3296	11.7187
-0.5790	-0.4468	0.5437	-21.9116	-24.7192	14.4653
-0.5928	-0.4230	0.5302	-33.0811	-24.1699	16.1743
-0.6023	-0.3864	0.5247	-42.4194	-23.6206	16.7236
-0.5985	-0.3457	0.5322	-48.8281	-23.3765	15.9302
-0.5891	-0.3306	0.5328	-51.6968	-23.1323	13.5498
-0.5811	-0.3473	0.5363	-53.5889	-23.0103	10.6201
-0.5847	-0.3864	0.5283	-56.2744	-22.8882	7.9956
-0.5863	-0.4153	0.5216	-61.2793	-21.5454	5.9814
-0.5835	-0.4199	0.4966	-68.5425	-17.8833	4.4556
-0.5676	-0.4150	0.4576	-76.7212	-13.5498	2.5024
-0.5430	-0.3706	0.4388	-84.9609	-15.0146	0.6104
-0.5420	-0.3064	0.4438	-90.3931	-16.9678	-1.0376
-0.5601	-0.2456	0.4747	-91.7358	-20.5078	-2.9907
-0.6062	-0.2439	0.5071	-89.6606	-23.9258	-4.3335
-0.6599	-0.2726	0.5532	-86.9141	-24.5972	-5.8594
-0.6925	-0.2931	0.5968	-85.9375	-19.9585	-6.2256
-0.6902	-0.3024	0.6399	-86.9751	-10.6201	-5.6152
-0.6660	-0.3071	0.6635	-90.1489	0.8545	-4.5776
