aX	aY	aZ	gX	gY	gZ	
-0.3409	0.8483	0.2333	-89.5996	13.9160	-25.8789
-0.3602	0.8624	0.2151	-84.8999	10.5591	-26.4893
-0.3676	0.8661	0.1947	-80.6885	10.0708	-26.6724
-0.3618	0.8590	0.1809	-77.4536	10.4980	-25.6958
-0.3424	0.8542	0.1656	-75.1343	10.5591	-23.1323
-0.3451	0.8475	0.1577	-73.0591	8.9111	-20.0806
-0.3645	0.8507	0.1456	-70.1904	7.8125	-16.4795
-0.3665	0.8473	0.1268	-67.1387	6.2866	-12.1460
-0.3395	0.8250	0.0996	-66.2842	4.0283	-8.0566
-0.3317	0.8354	0.1094	-67.1997	0.3052	-3.8452
-0.3217	0.8417	0.0753	-62.2559	-5.6763	-2.0142
-0.3256	0.8337	0.0536	-60.3027	-13.3057	-2.5024
-0.3679	0.8513	0.0482	-59.4482	-18.3716	-3.3569
-0.4048	0.8717	0.0281	-58.4717	-17.7002	-4.5776
-0.4010	0.8774	0.0004	-58.8989	-12.3291	-5.7983
-0.3727	0.8690	-0.0135	-61.2183	-6.0425	-6.2256
-0.3633	0.8505	-0.0295	-64.1479	-0.9766	-6.5308
-0.3599	0.8273	-0.0409	-69.0308	2.3804	-6.4087
-0.3411	0.8129	-0.0544	-75.6226	4.1504	-4.7607
-0.3090	0.7991	-0.0580	-82.7637	2.9297	-0.6104
-0.2821	0.7823	-0.0632	-89.1724	-0.6104	4.8828
-0.2634	0.7955	-0.0521	-96.4355	-6.6528	11.9019
-0.2612	0.8201	-0.0322	-102.9053	-14.5264	19.1650
-0.2845	0.8602	-0.0084	-106.2012	-22.9492	24.5972
-0.2876	0.9236	0.0452	-104.9194	-29.9072	26.8555
-0.3387	1.0288	0.1886	-95.9473	-31.6162	24.9634
-0.5933	1.1278	0.3402	-67.8711	-24.7803	25.1465
-0.8342	1.1647	0.5232	-21.4844	-7.0190	35.5225
-1.0394	1.2175	0.8590	38.2080	9.6436	57.9834
-0.9893	1.4473	1.2843	120.9106	24.7192	84.7778
-1.0013	1.5344	1.1409	252.4414	40.1001	104.2480
-1.0619	1.6537	0.9034	397.9492	89.9048	104.9194
-0.8915	1.7792	0.7285	542.9687	170.1660	88.8672
-0.6509	1.8373	0.5663	688.5376	247.1313	48.8281
-0.5272	1.8582	0.1202	826.3550	315.3076	-5.7983
-0.5088	1.8640	-0.3333	921.9971	361.3281	-51.0254
-0.3667	1.8153	-0.9215	951.8433	374.2065	-64.4531
-0.1984	1.3043	-1.3726	882.9346	361.7554	-50.1709
-0.0660	-0.0200	-0.8800	668.9453	363.4644	-19.4702
0.4395	-0.8481	0.0695	386.1694	369.6289	10.9863
1.1549	-0.7667	0.3359	132.1411	305.4810	16.8457
1.3564	-0.4613	0.1039	-63.2935	154.1138	0.9155
0.8140	0.0570	-0.0829	-223.2056	-26.3062	-28.0762
-0.0133	0.4513	-0.2195	-322.3267	-179.5654	-51.0864
-0.7063	0.6630	-0.2865	-363.8916	-265.9302	-52.6123
-1.1531	0.7628	-0.3331	-375.2441	-283.6304	-42.0532
-1.3459	0.8561	-0.2305	-377.4414	-250.5493	-26.0620
-1.3124	0.9989	-0.0129	-372.6196	-198.4253	-6.4697
-1.1929	1.0631	0.1833	-357.5439	-154.2969	16.9067
-1.0615	1.0610	0.4359	-337.0361	-110.7788	33.4473
-0.8579	1.0367	0.6362	-303.8940	-66.2842	36.7432
-0.6055	0.9769	0.7625	-261.7187	-32.8979	33.7524
-0.3909	0.9130	0.7974	-219.1772	-15.5029	28.6255
-0.2489	0.8844	0.7673	-182.9834	-9.5215	20.1416
-0.1447	0.8940	0.7002	-157.7148	-8.3008	10.0708
-0.0914	0.9266	0.6456	-143.4937	-8.7280	1.3428
-0.0845	0.9733	0.6096	-137.3291	-9.7046	-5.8594
-0.1146	1.0153	0.5693	-134.2163	-12.2681	-12.2070
-0.1478	1.0315	0.5231	-131.0425	-16.0522	-16.9678
-0.1763	1.0237	0.4749	-127.2583	-22.2168	-18.4937
-0.2037	0.9937	0.4200	-121.4600	-28.2593	-18.1885
-0.2334	0.9467	0.3588	-114.8071	-31.3721	-17.0898
-0.2679	0.8959	0.3135	-108.8257	-32.5928	-14.2822
-0.3063	0.8711	0.3057	-103.6987	-32.8979	-10.8643
-0.3375	0.8562	0.2933	-97.2900	-31.9214	-8.9722
-0.3516	0.8406	0.2629	-89.5996	-29.7852	-8.4229
-0.3563	0.8329	0.2386	-82.7637	-27.8320	-7.8125
-0.3787	0.8297	0.2087	-76.2329	-25.5737	-7.4463
-0.3859	0.8258	0.1738	-68.7866	-22.7661	-7.1411
-0.3787	0.8253	0.1519	-62.6221	-21.1792	-6.5308
-0.3746	0.8311	0.1343	-57.3730	-20.4468	-5.6763
-0.3641	0.8419	0.1110	-53.2837	-19.7754	-4.7607
-0.3519	0.8494	0.0959	-49.7437	-19.2871	-4.0894
-0.3383	0.8563	0.0812	-47.0581	-17.8833	-3.5400
-0.3293	0.8687	0.0790	-45.4102	-16.7847	-3.2349
-0.3251	0.8849	0.0747	-45.1050	-15.6250	-3.7231
-0.3267	0.8986	0.0651	-45.3491	-14.4043	-4.4556
-0.3368	0.9058	0.0665	-47.3633	-13.1836	-5.3101
-0.3284	0.9075	0.0660	-50.4761	-11.8408	-5.3101
-0.3177	0.8950	0.0535	-53.0396	-11.4136	-5.0659
-0.3060	0.8728	0.0273	-55.3589	-12.3291	-3.9062
-0.2947	0.8507	0.0049	-57.9224	-14.8315	-2.8687
-0.2982	0.8297	-0.0125	-60.8521	-18.2495	-2.4414
-0.3005	0.8165	-0.0316	-63.7207	-21.6675	-2.4414
-0.3112	0.8346	-0.0328	-67.1997	-24.5972	-2.5635
-0.3220	0.8632	-0.0486	-69.0308	-26.7334	-3.1128
-0.3177	0.8754	-0.0526	-71.2891	-28.3813	-3.9062
-0.3125	0.8815	-0.0476	-75.0122	-30.0903	-3.7842
-0.3154	0.8920	-0.0299	-79.1626	-30.7007	-2.6245
-0.2930	0.9224	0.0000	-82.6416	-30.6396	0.5493
-0.2502	0.9598	0.0491	-83.8623	-32.4097	3.9673
-0.2292	1.0295	0.1421	-79.4678	-34.4238	5.1270
-0.3575	1.0942	0.3177	-60.8521	-31.0059	5.5542
-0.6244	1.1653	0.5432	-24.2920	-23.8037	10.7422
-0.8094	1.2510	0.8687	29.1138	-11.4746	27.0386
-0.7881	1.2887	1.1512	107.0557	0.2441	55.4810
-0.6720	1.3920	1.3162	210.1440	14.5264	86.7920
