aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.0762	-0.8696	-0.3260	364.5020	40.4663	230.8350
-0.0463	-0.7606	-0.3448	376.6479	43.3350	232.1777
-0.0647	-0.7588	-0.4128	393.0664	54.3213	242.1875
-0.0522	-0.8094	-0.4607	409.2407	77.5146	219.9707
0.0529	-0.7533	-0.4797	398.9868	73.1812	198.9136
0.1469	-0.6472	-0.6072	388.7329	61.2183	182.4341
0.1379	-0.6068	-0.7100	387.9395	56.2134	171.4478
0.1555	-0.5776	-0.7788	389.6484	62.2559	164.9170
0.2886	-0.4966	-0.8386	397.9492	59.5093	164.7339
0.4015	-0.4108	-0.9119	411.6211	48.2788	163.9404
0.4077	-0.3462	-1.0024	423.1567	28.5034	159.7290
0.3290	-0.2130	-1.1134	429.7485	5.1880	153.3203
0.2639	0.0326	-1.2810	437.3779	-12.4512	147.8271
0.2117	0.3076	-1.5253	448.1812	-18.2495	145.6299
0.2495	0.4011	-1.9828	453.4302	-0.4272	143.0054
0.3811	0.1768	-2.7253	436.8286	47.1191	127.1973
0.5465	-0.3434	-3.4454	378.7231	105.3467	81.6650
0.7944	-0.7003	-3.8568	235.8398	139.3433	16.5405
1.0406	-0.5878	-3.7415	12.2681	133.0566	-53.5889
0.8718	0.3635	-3.3353	-205.8716	103.3325	-136.1084
0.2936	1.1659	-3.3654	-354.7363	51.7578	-164.7339
-0.0021	0.8232	-3.6364	-454.6509	2.0752	-141.5405
0.2365	0.3342	-3.5457	-552.3682	20.9351	-130.3711
0.5526	0.2565	-3.2784	-651.3672	62.3169	-156.7993
0.7100	0.2871	-3.0128	-725.0977	86.7920	-216.4307
0.7943	0.3593	-2.5399	-782.9590	92.3462	-280.0293
0.8319	0.4224	-1.9847	-826.7212	81.4209	-337.2803
0.7668	0.5494	-1.4875	-856.9336	57.8613	-380.0659
0.6663	0.7570	-1.0270	-879.5166	24.1089	-408.6304
0.7045	1.1071	-0.5192	-896.4844	-23.1323	-434.6313
0.4694	1.6339	0.0840	-895.9351	-98.0225	-455.5664
-0.0985	1.9139	1.4103	-837.7686	-184.0210	-441.3452
-1.1329	1.6071	2.2676	-679.5654	-261.3525	-379.0283
-2.5400	1.8373	2.6736	-503.1738	-280.8838	-290.9546
-2.9462	2.0316	2.6270	-323.0591	-253.7231	-162.1704
-2.4905	2.2356	2.5182	-156.8604	-139.2822	-21.1792
-2.1339	1.5399	2.3224	-18.6157	-9.8267	104.0649
-1.4155	1.3048	1.9305	78.4912	72.8760	189.5752
-0.9166	0.9841	1.7007	135.0098	112.6099	238.4033
-0.6323	0.8037	1.4700	172.3633	127.3193	259.1553
-0.3993	0.5959	1.1991	214.8437	129.3335	266.6626
-0.2156	0.1937	0.8516	254.8828	122.5586	262.9395
-0.1425	-0.1855	0.5153	277.7100	105.8350	244.3848
-0.1335	-0.3833	0.4641	284.9121	88.9282	225.9521
-0.1478	-0.6617	0.2692	299.7437	67.0166	209.9609
-0.2885	-0.7538	0.1263	316.3452	50.2930	206.1157
-0.3080	-0.7151	0.0302	335.8154	62.0728	213.6841
-0.1967	-0.7091	-0.0437	363.2202	88.6230	219.1162
-0.0917	-0.6951	-0.1245	385.7422	106.9946	218.8110
-0.0507	-0.6538	-0.1600	400.3296	112.8540	222.1069
-0.0350	-0.6116	-0.2101	416.9312	122.4365	205.5664
0.0283	-0.6233	-0.3285	427.4292	115.0513	178.6499
0.1393	-0.5660	-0.4738	439.0259	84.7778	169.3726
0.2236	-0.4309	-0.6617	462.7686	52.9785	168.8232
0.2578	-0.2684	-0.8407	497.7417	23.9258	177.3682
0.2491	-0.0436	-1.0070	540.2222	2.7466	185.9741
0.2557	0.2009	-1.2123	590.2100	-17.8223	192.1387
0.2830	0.2994	-1.6584	630.2490	-30.5786	194.4580
0.3143	0.1454	-2.3660	620.3003	-12.1460	187.8662
0.5194	-0.3228	-3.5338	558.5937	54.1992	160.8887
0.9272	-1.2567	-3.9995	426.2695	127.7466	97.4731
1.2334	-1.5027	-3.9930	154.7241	134.5825	25.6348
1.0259	-0.4355	-3.5991	-120.6665	89.0503	-52.2461
0.3298	0.7821	-3.8875	-286.4990	7.2021	-125.4883
-0.0824	0.7275	-3.9995	-396.1792	-60.0586	-97.3511
0.1556	-0.1382	-3.9685	-485.2905	-31.9824	-83.3740
0.6449	-0.2975	-3.7048	-577.0264	11.5356	-115.7227
0.7910	-0.1383	-3.2715	-657.5317	43.9453	-179.8706
0.7435	0.0823	-2.6521	-722.3511	56.1523	-245.9717
0.7155	0.0895	-2.0392	-763.6108	33.8135	-299.9878
0.6661	0.1157	-1.5736	-788.0859	-11.7798	-352.6001
0.5514	0.4430	-1.1902	-807.4341	-62.7441	-401.3672
0.2262	0.9387	-0.7778	-814.5752	-116.2720	-443.7256
-0.2281	1.2708	0.0400	-795.5933	-146.8506	-470.1538
-0.4220	1.1364	0.8541	-728.3936	-135.9253	-461.6699
-0.7073	1.1982	1.6559	-623.1689	-122.0093	-423.9502
-1.3118	1.5659	2.1854	-490.5396	-123.1079	-346.6187
-1.8021	1.7617	2.4863	-339.5386	-124.0845	-221.5576
-1.8741	1.5912	2.4589	-197.6929	-102.4170	-82.2144
-1.7614	1.3772	2.1895	-86.2427	-62.4390	21.1792
-1.5049	1.1589	1.9154	-15.9912	-15.7471	96.0693
-1.0917	0.9915	1.6785	19.9585	22.8271	144.7144
-0.6910	0.8629	1.4512	43.8232	47.6074	171.6309
-0.4497	0.6219	1.2598	67.8711	58.2886	182.6172
-0.3427	0.3696	1.1107	87.0972	43.7622	173.3398
-0.3552	0.1438	0.9886	103.5767	16.9067	153.3203
-0.4603	-0.0691	0.8677	122.1924	-4.8828	133.5449
-0.5765	-0.2368	0.8053	139.8315	-13.1836	119.5068
-0.6500	-0.3212	0.7551	162.7808	-11.1694	112.9150
-0.8019	-0.4514	0.6464	192.8711	-2.4414	113.5254
-0.8544	-0.4445	0.5312	217.4683	22.1558	125.9155
-0.6744	-0.4194	0.4453	237.5488	66.1011	139.5874
-0.4879	-0.4417	0.3959	257.2632	106.3232	150.2686
-0.3885	-0.4346	0.3945	268.1885	129.0894	156.6162
-0.2653	-0.4203	0.3789	277.4658	137.2681	157.1045
-0.1671	-0.4364	0.3560	292.4805	132.6294	154.4189
-0.1049	-0.4313	0.2714	313.9648	114.1968	153.7476
-0.0745	-0.3896	0.1085	343.9331	87.7686	156.5552
-0.0675	-0.4224	-0.0939	382.9956	59.3872	163.1470
-0.0848	-0.3693	-0.3180	434.1431	39.8560	163.3911
-0.0962	-0.3384	-0.5646	487.3657	15.1978	174.3164
-0.0795	-0.2233	-0.8389	538.5132	-5.7373	184.9976
-0.0262	-0.1086	-1.1608	584.8389	-6.8970	192.3828
0.1929	0.0829	-1.6256	620.4224	-1.4038	189.6362
0.3644	0.0157	-2.5742	637.5732	8.5449	200.6226
0.4808	-0.6617	-3.2583	564.5142	54.5044	187.3169
0.6349	-1.0321	-3.5740	419.1284	111.2671	142.0288
0.7927	-1.0195	-3.7560	250.0610	124.2065	92.5903
0.8643	-0.7584	-3.8746	64.6362	101.1353	31.4941
0.6492	-0.4502	-3.7916	-116.6382	39.1846	-17.2119
0.3091	-0.2961	-3.8911	-278.9917	-41.5649	-41.1377
0.3188	-0.3940	-3.9153	-413.3301	-89.2944	-50.3540
0.5231	-0.4326	-3.7092	-523.2544	-91.9800	-69.7632
