aX	 aY 	 aZ	 gX	 gY	 gZ	
0.4160	2.9481	0.7855	-302.4902	303.8330	-335.9985
-0.4564	3.7128	2.5889	-295.8984	274.5972	-272.7661
-1.5590	3.9995	3.9873	-277.2827	152.5269	-170.5322
-3.4086	3.2750	3.9995	-269.4092	60.4858	-98.3887
-3.9995	2.3711	3.9995	-272.2778	31.0669	-92.5293
-3.7789	2.8337	3.9995	-269.5923	19.7144	-51.5137
-3.9995	1.0177	3.9995	-235.8398	14.9536	23.7427
-3.4218	1.8333	3.9995	-171.8140	41.8701	-55.3589
-2.8940	0.5627	3.9995	-121.7651	50.1709	-40.1001
-2.7596	0.6863	3.9995	-90.0269	-26.6724	-51.1475
-2.2775	0.5142	3.8779	-32.8979	-73.4863	-67.9932
-1.9679	0.1067	3.2750	6.9580	-87.7075	-38.5742
-1.4250	0.0629	2.7412	28.6255	-80.9937	-16.2354
-0.9081	-0.1083	2.2684	48.4009	-70.5566	-7.9956
-0.5573	-0.1711	1.9226	55.2979	-71.8384	7.3242
-0.0928	-0.1868	1.5814	56.3965	-75.3784	12.2681
0.0884	-0.2687	1.2949	54.8706	-80.9326	12.6343
-0.0133	-0.2018	1.1085	46.9971	-82.7026	9.8877
-0.1517	-0.1372	1.0084	37.1704	-72.3877	10.8032
-0.3038	-0.0383	0.9686	26.9775	-57.4341	15.7471
-0.4728	0.0602	0.9796	17.0898	-40.5273	25.0244
-0.6299	0.1542	1.0256	8.3618	-20.9351	34.2407
-0.7524	0.2571	1.0863	-0.1221	-4.8218	46.5088
-0.8131	0.2969	1.1713	-8.2397	4.9438	60.4858
-0.8845	0.3948	1.3234	-15.5640	10.1929	66.1011
-0.9501	0.4429	1.4797	-17.7002	15.9302	65.3076
-0.9752	0.4803	1.6094	-16.5405	21.7896	63.9038
-0.9683	0.5078	1.6917	-12.4512	22.3999	65.0635
-0.9281	0.5634	1.7579	-5.3101	18.1274	65.7349
-0.8956	0.5743	1.7599	5.0659	11.5356	60.1807
-0.9294	0.5358	1.7108	18.6157	2.8076	55.2979
-0.9597	0.4896	1.6292	29.3579	-2.6855	47.5464
-1.0624	0.4150	1.5389	34.0576	-5.0659	38.8794
-0.8677	0.5690	1.4384	34.9731	0.7324	32.1045
-0.7799	0.5204	1.3334	34.6069	12.5122	39.6729
-0.7141	0.4835	1.2213	32.7148	16.7847	43.5791
-0.6522	0.3693	1.1608	29.2969	13.9160	36.8042
-0.5541	0.4514	1.0685	24.7803	8.1787	36.3159
-0.5614	0.3713	1.0153	21.6064	2.2583	39.9170
-0.5120	0.3461	0.9456	20.8740	-0.4272	39.5508
-0.4745	0.3007	0.8323	22.6440	3.0518	37.6587
-0.4152	0.2300	0.7434	24.2920	11.2305	37.6587
-0.4418	0.1653	0.6498	23.4985	23.0713	36.8042
-0.4363	0.1099	0.5894	22.1558	41.4429	32.4707
-0.3578	0.2251	0.5311	20.8130	67.2607	29.4800
-0.2605	0.1715	0.5336	24.5361	93.5669	28.5034
-0.1732	0.1700	0.5563	33.0811	114.6851	28.6865
-0.1071	0.1038	0.5575	45.1660	125.3052	32.1045
0.0287	0.1847	0.5347	56.5796	126.0376	35.6445
0.0686	0.1053	0.4701	70.4956	116.0278	37.7808
0.0648	0.0496	0.3884	83.5571	98.8159	36.0107
0.0642	0.0715	0.2770	93.4448	82.5806	28.2593
0.0438	-0.0115	0.1533	103.8208	72.3267	18.5547
0.0051	-0.0389	0.0051	110.6567	70.0073	12.1460
0.0326	-0.0826	-0.1885	114.0747	73.6694	4.9438
0.1390	-0.1382	-0.3964	114.4409	80.6885	-1.2207
0.3141	-0.1886	-0.6587	112.1826	83.0688	-3.9673
0.5405	-0.2810	-1.0398	109.1309	76.1719	-6.9580
0.8286	-0.4636	-1.5306	104.4312	54.1382	-13.9771
1.0597	-0.6431	-2.1110	98.5107	13.9160	-25.3906
1.2911	-0.7559	-2.7794	93.8110	-41.1377	-34.8511
1.6239	-0.7374	-3.5381	87.4023	-101.7456	-36.8652
2.0322	-1.2078	-3.9995	55.4199	-157.0435	-27.1606
2.2672	-1.3116	-3.9995	-4.3335	-196.5942	-38.0859
2.4041	-0.6750	-3.9995	-86.5479	-171.8140	-75.6836
2.8953	-0.1288	-3.9995	-138.9771	-130.9204	-126.4038
2.4686	-0.1476	-3.6998	-158.6304	-72.9370	-150.5737
1.7885	0.5253	-3.0825	-229.4922	24.5972	-192.2607
1.1812	1.3131	-2.0062	-288.8794	144.1650	-217.4683
1.0162	2.1787	-0.5427	-322.3267	261.1694	-210.0220
0.7584	2.7605	1.5653	-348.5718	290.5884	-186.7676
-0.9902	3.9622	3.8163	-373.7793	177.4292	-195.1294
-3.1340	3.9995	3.9995	-356.5063	23.1323	-174.3164
-3.9055	3.9995	3.9995	-299.3164	-4.5776	-79.6509
-3.9399	3.1967	3.9995	-240.7227	43.3350	25.3296
-3.9995	1.6334	3.9995	-223.0225	57.5562	40.4663
-2.0754	2.7057	3.9995	-179.3213	86.9751	-29.2969
-2.0745	1.2866	3.9995	-138.6108	22.5220	-21.9116
-2.1346	1.9905	3.9995	-101.6235	-80.1392	-52.1851
-2.0837	1.2863	3.6431	-42.8467	-126.2207	-25.6958
-1.6389	0.9133	2.8771	-0.7324	-119.4458	11.9019
-1.1138	0.6252	2.2943	17.7002	-82.8247	42.1143
-0.3898	0.4788	1.8221	26.9775	-44.4336	66.7114
-0.0493	0.2864	1.5106	28.4424	-27.9541	79.2847
-0.0842	0.3149	1.3423	22.0337	-21.7896	75.4395
-0.1875	0.4893	1.2598	14.8315	-9.6436	70.7397
-0.2771	0.5503	1.2052	9.7656	10.5591	75.3174
-0.3082	0.6022	1.1464	8.7280	33.1421	79.8340
