aX	 aY 	 aZ	 gX	 gY	 gZ	
-0.6373	1.7948	1.1145	-614.3188	317.6270	-201.0498
-1.4906	1.7072	2.4946	-500.1221	203.2471	-99.7314
-2.2299	1.5746	3.0360	-311.0352	48.8281	17.8223
-2.1777	1.5897	2.4205	-81.5430	-49.4995	124.1455
-1.5680	1.2679	1.6998	106.1401	-55.6030	197.5098
-0.9686	0.9338	1.3779	211.9141	-50.1709	224.1821
-0.8091	0.8693	1.0195	267.7612	-83.1299	226.1353
-0.7651	0.7864	0.5950	316.6504	-120.9106	224.4263
-0.6345	0.6842	0.1665	367.1265	-144.8364	226.7456
-0.5103	0.4838	-0.2693	418.9453	-148.8647	216.1865
-0.4390	0.3174	-0.5388	441.5283	-167.0532	193.9087
-0.4882	0.2052	-0.6959	447.0825	-182.2510	189.5142
-0.5815	0.1842	-0.8380	441.2842	-181.0303	185.6079
-0.6918	0.2335	-0.8639	426.7578	-164.4287	182.1899
-0.8182	0.2935	-0.8734	413.9404	-134.4604	184.2651
-0.8729	0.3330	-0.9055	404.4189	-93.2617	188.5376
-0.8163	0.3391	-0.9202	397.8882	-57.9834	185.9131
-0.7225	0.3075	-0.8856	390.3809	-31.9214	178.5278
-0.6437	0.2416	-0.8765	377.6245	-13.1226	171.0205
-0.6237	0.1774	-0.8545	360.5347	-2.0142	165.8936
-0.6560	0.1870	-0.8645	340.8813	7.7515	163.6963
-0.6255	0.2571	-0.8606	323.6084	18.8599	162.1094
-0.6393	0.3088	-0.8528	313.7207	35.7666	162.3535
-0.6586	0.3298	-0.8519	310.1807	46.3867	158.5693
-0.6058	0.3450	-0.8832	311.4014	58.6548	155.8228
-0.4950	0.3469	-0.9818	311.8896	72.6318	152.0386
-0.3370	0.3105	-1.1740	305.1147	80.3833	146.2402
-0.0079	0.1771	-1.5737	281.2500	79.7729	135.4980
0.3060	-0.2765	-2.1978	223.5718	67.9321	111.8774
0.2035	-1.0623	-2.4866	109.3140	56.8848	65.0635
-0.2526	-1.3440	-2.4011	-75.2563	63.4155	5.9814
-0.4642	-0.7975	-1.9924	-284.7290	80.6274	-74.7681
-0.2710	-0.0076	-1.7319	-441.7114	96.1914	-176.6357
-0.1364	0.3635	-1.5096	-545.7153	83.3740	-257.9346
-0.2211	0.4438	-1.3848	-624.8169	50.7202	-309.4482
-0.3752	0.6324	-1.3190	-697.2656	32.5928	-352.7222
-0.4562	0.9814	-1.2655	-759.9487	37.1704	-401.9165
-0.4706	1.3561	-1.2588	-810.3027	72.0825	-460.8154
-0.4536	1.8621	-1.2579	-844.0552	130.6763	-516.2964
-0.8921	2.6757	-1.0770	-833.4351	183.4717	-550.0488
-1.1084	2.8672	-0.6737	-762.8784	245.5444	-503.2959
-0.7797	2.3625	0.1168	-687.8052	324.2798	-362.3657
-1.2178	1.8950	1.3163	-597.5952	316.5894	-241.6992
-2.0520	1.7208	2.4368	-485.5957	215.7593	-122.4976
-2.3677	1.7939	2.7898	-286.8042	92.8955	0.7935
-2.0426	1.6089	2.4393	-61.0962	13.6108	114.0747
-1.5068	1.2292	1.8807	125.8545	-21.9116	185.4858
-1.2140	1.0618	1.2296	244.7510	-53.4668	221.8628
-0.8624	0.9969	0.7719	302.4902	-90.5762	252.0142
-0.6615	0.7792	0.3778	341.6748	-123.4131	256.4697
-0.6208	0.6663	0.1187	378.2349	-145.1416	244.8730
-0.5626	0.5479	-0.1926	428.2227	-154.2969	248.9014
-0.4513	0.3973	-0.5189	469.1772	-165.8325	233.8257
-0.3440	0.3088	-0.6990	473.6938	-184.8145	227.5391
-0.4243	0.3477	-0.8403	467.7124	-186.4624	230.6519
-0.6235	0.4071	-0.9177	453.9795	-168.5181	229.6753
-0.7385	0.3881	-0.8760	444.0308	-137.5732	233.6426
-0.7301	0.4059	-0.8484	435.9131	-103.1494	237.7930
